Driver,Total_Free,Total_Busy,Total_Fare,Total_Journeys,Total_Distance,Utilisation
1b4f4af68d7a4440b23e145d93da5021,113,68,68,17,55,0.6017699115044248
f93129fb7f854eb692525a441efb634f,114,101,70,15,76,0.8859649122807017
fb29d71aa1f44dc280f786a6d76f21b1,77,3,24,0,61,0.03896103896103896
a0eb4c18fed44fd18bb9d903d58568f9,81,48,7,11,17,0.5925925925925926
4340eb13dfd249a1a17af158687799ff,52,39,37,16,45,0.75
4ff4d61041f8419d875b2bed87d08a4c,52,21,10,22,14,0.40384615384615385
0ba4ae26fad548349bcd35eb53a7ad17,119,85,22,16,96,0.7142857142857143
56e53b9e0cfe4c6dba54fcecb86c461b,20,108,25,17,33,5.4
f59ca133a14745ef89f159c78598bf4a,120,100,76,20,63,0.8333333333333334
4284f066d38845868be9c4669d3a3c6e,62,2,91,6,95,0.03225806451612903
6fc57ea0879e4bd59603ae3048dcfd76,25,64,81,3,43,2.56
74599143b6d2413b826b7b7916756f94,108,117,28,5,67,1.0833333333333333
a1ee972b387e425b9b4e6367c272763f,87,112,99,23,5,1.2873563218390804
bc583048c7f1454facdcc2a7ebd0a00f,79,55,11,14,60,0.6962025316455697
8427d15c0fa44df08a749a009ff38bbd,19,111,45,23,85,5.842105263157895
3536b69782cd4e9188be2e6c01111044,34,50,2,14,52,1.4705882352941178
29d65d7c42294e5d92049ea981c565a7,96,32,86,10,55,0.3333333333333333
476f01287edd45acaba1c7b3207a2c41,63,70,92,22,89,1.1111111111111112
83b396abf65945bdbb62abb77ff1135d,6,78,82,3,35,13.0
afe4ea71c6e54ed0be0028e51f9de0f7,85,82,86,18,79,0.9647058823529412
e3255dff33d64bd7a4a7dff96a572c62,73,10,42,7,80,0.136986301369863
6ee65ce77ef04058a78c717ba79b8379,74,106,100,2,40,1.4324324324324325
a16138bc979641b883c1b347494f81ea,6,31,95,0,23,5.166666666666667
64cace75fe9342de8fbb9f841230f329,3,120,4,12,80,40.0
fb501cc8fe2a414da6960f0f00a9822f,39,44,17,10,20,1.1282051282051282
acac5b178e9043d88ab07c2524e66370,10,82,63,10,64,8.2
e224d54420354b249f16191135fe290e,40,25,0,25,13,0.625
51e6bc93fe304334b1b80909cba58450,108,9,95,15,20,0.08333333333333333
8d5c41b1202944d2acf5c05ae8f9cf7f,4,20,72,2,13,5.0
f82549b2729b405ab4863e86983542db,15,16,44,23,46,1.0666666666666667
600af13c0a3144a2bb5f6c58f450b17c,14,36,85,4,69,2.5714285714285716
b71e24baf6f349dea6d681d283f059d9,114,83,78,9,52,0.7280701754385965
ec278180e04e4b038f6f98cc6f99e911,50,4,47,14,89,0.08
fe5be50e9f004189bd9bbeca5434e3c3,74,12,50,14,17,0.16216216216216217
86275e57f7144035a566abe7a40fe293,62,104,44,15,63,1.6774193548387097
60a0d85e18054d8c96f10883d37a3ecd,53,32,55,9,6,0.6037735849056604
b01cb8f50e55447bbe29a34e5baf8640,37,97,53,10,96,2.6216216216216215
e14f2450ab564da89c528395ca517232,70,70,40,4,43,1.0
e9367fdedd3a43cc99fffde774c73d09,96,84,33,11,22,0.875
63e3b1c8c6184856a7520b6853f835d5,47,62,15,12,97,1.3191489361702127
2f158e2039804da1995f1c362b2b094a,113,50,7,0,20,0.4424778761061947
9ae3157d37aa43f58487697a563641ab,17,11,38,19,12,0.6470588235294118
5684582e1d0e4ea99fb40d3aeb5858bf,114,51,10,12,7,0.4473684210526316
521ba4f41b5b4462a24448249482b461,19,42,88,19,93,2.210526315789474
a3fab9a2a4284cc7862df76fc286d640,77,55,43,16,83,0.7142857142857143
e8510328f02f4ec9bcb6db7d81552dca,14,70,54,11,67,5.0
5d8a8fda87b94683b8e30e92a68f9a2b,3,74,19,2,13,24.666666666666668
ac992330c6f34ccbaf5c1fb42c2af055,18,90,32,0,69,5.0
35116afc7dd74f439fba50cb64aaa45a,68,118,19,8,26,1.7352941176470589
20d2bd1b463e4bfa9a7c8fff15bae610,33,82,73,20,80,2.484848484848485
e06b3b913ef54a329c621d634c073356,40,34,41,11,91,0.85
61e01c06dd354a45b7e8699c4aadc181,59,73,26,14,39,1.2372881355932204
451c90f83ec84322bbddd4a12ab1fc91,27,49,93,25,3,1.8148148148148149
d5e3af823a5a4b3c98f0b063aa7e312b,52,43,30,19,92,0.8269230769230769
6637354703e247c8b76e461f6e3b2146,113,36,99,21,87,0.3185840707964602
9ffd4c702eab49cd824272edb7c43fb6,6,41,77,0,42,6.833333333333333
3b886090bd834a90bc8997b2f82f250b,42,10,69,4,18,0.23809523809523808
07551c7f77a9427383cb45c4158adcc5,9,8,64,20,35,0.8888888888888888
aa63ab93c14f4618a6ba2974ab39ba37,18,81,93,18,28,4.5
6eed18c2fd9946d1bde9d8db743f50ab,2,40,67,24,74,20.0
efd07fad26ed47669da43741a724d24c,58,98,38,22,88,1.6896551724137931
3959b6d374d3410a86e7ab9e50d7149e,2,53,58,6,58,26.5
18910d8833ff4024bcc1ecb1065f682f,46,9,64,14,76,0.1956521739130435
7b3b6ff9e942477ba072211bca577d08,39,36,10,25,47,0.9230769230769231
9281362066e84e8595d97a2f681be4b5,73,9,6,11,21,0.1232876712328767
1c9c5837beee4778bb3a79b2e2272a47,8,91,14,23,61,11.375
b644f8760af9494ca58ff90bc665f63a,58,12,8,5,92,0.20689655172413793
884b33738d8643ac9880971998e892c4,42,53,78,10,54,1.2619047619047619
86c83f29aec446b9a77dfa50f93a566d,27,100,27,11,44,3.7037037037037037
904de8ea647146cf97af91c724d43d50,25,54,98,23,17,2.16
c773a3bc36344bb49f1ec9680183fc78,100,71,57,10,60,0.71
9724685462b74f8fa17aca1042337838,16,101,44,0,39,6.3125
a007fb05a39b42d99d424d234db542d3,78,34,80,3,73,0.4358974358974359
df7c0d58b0d74cd393e5350689758837,96,29,93,6,2,0.3020833333333333
c833ae7e9346474986cee844aeefd248,102,18,20,12,58,0.17647058823529413
3fa2413c5f57409bafab5efb5404cbec,101,86,33,15,65,0.8514851485148515
2bc225b413714386b0ad22353e49f522,114,101,81,6,25,0.8859649122807017
a3238c728cdd44fb9361936198fd6093,25,64,25,23,79,2.56
92566bce12c94ac3b1a0bd6d491723fb,38,36,23,15,24,0.9473684210526315
e213c66dac944f4b848b04366db4f736,105,16,21,7,38,0.1523809523809524
d76ea7bf60604e72b7649e2e7b7beb19,30,40,68,23,28,1.3333333333333333
bc26286b90c649a18b93827b58d29606,5,116,93,9,65,23.2
557b90f87a6643e2a2221debf000c9c6,75,19,78,7,30,0.25333333333333335
f290af98d6664c418dbf79d9ca367173,60,47,4,22,13,0.7833333333333333
eec6f23c7c9c4bca993d8818d65a8cf6,75,67,48,1,49,0.8933333333333333
77546031bfba4cc38919db64a0923dd0,40,35,17,17,25,0.875
95a7bce4584d4c1e85ee1d37b70e6dbc,1,72,70,10,85,72.0
bd3021a1591e4825aafb3fb76ebc6bfc,74,83,19,0,12,1.1216216216216217
b5ee308101584bc999765bf5df103c99,1,49,41,7,96,49.0
be23464901774ce2b989efdb7f273753,90,67,31,11,10,0.7444444444444445
